,item_count,bin_capacity,weight_range,instance,bin_count,execution_time
N1C1W1_A.txt,1,1,1,0,31,0.05570000001853259
N1C1W1_B.txt,1,1,1,1,36,0.05070000003115638
N1C1W1_C.txt,1,1,1,2,26,0.07950000002665547
N1C1W1_D.txt,1,1,1,3,33,0.048800000001847366
N1C1W1_E.txt,1,1,1,4,31,0.05070000003115638
N1C1W1_F.txt,1,1,1,5,32,0.05879999997659979
N1C1W1_G.txt,1,1,1,6,32,0.06059999998342391
N1C1W1_H.txt,1,1,1,7,35,0.049600000011196244
N1C1W1_I.txt,1,1,1,8,31,0.055399999951077916
N1C1W1_J.txt,1,1,1,9,32,0.054500000032930984
N1C1W1_K.txt,1,1,1,10,31,0.05640000000539658
N1C1W1_L.txt,1,1,1,11,39,0.05920000000969594
N1C1W1_M.txt,1,1,1,12,35,0.0569000000041342
N1C1W1_N.txt,1,1,1,13,30,0.053800000046067
N1C1W1_O.txt,1,1,1,14,39,0.05649999997103805
N1C1W1_P.txt,1,1,1,15,32,0.06369999999833453
N1C1W1_Q.txt,1,1,1,16,35,0.06889999997383711
N1C1W1_R.txt,1,1,1,17,32,0.050100000009933865
N1C1W1_S.txt,1,1,1,18,35,0.05189999995991457
N1C1W1_T.txt,1,1,1,19,35,0.0516999999717882
N1C1W2_A.txt,1,1,2,0,36,0.054099999999834836
N1C1W2_B.txt,1,1,2,1,36,0.05260000000362197
N1C1W2_C.txt,1,1,2,2,39,0.05379999998922358
N1C1W2_D.txt,1,1,2,3,38,0.053600000001097214
N1C1W2_E.txt,1,1,2,4,40,0.05440000001044609
N1C1W2_F.txt,1,1,2,5,35,0.05210000000488435
N1C1W2_G.txt,1,1,2,6,38,0.058500000022831955
N1C1W2_H.txt,1,1,2,7,39,0.053999999977349944
N1C1W2_I.txt,1,1,2,8,41,0.05369999996673869
N1C1W2_J.txt,1,1,2,9,40,0.058000000024094334
N1C1W2_K.txt,1,1,2,10,40,0.0542999999879612
